# CONCEPTICON
# Created by: QLC Research Group (M. Cysouw, V. Kirchhoff, S. Nicolai, N.  Müller, J.-M. List [rearrange and modify this order, I put me as last person, since I didn't do quite much, not to indicate that I'm some kind of a leader in this project])
# Created on: 2014-05-06 13:04
# Contact: <whatemailtousehere?>
OMEGA_WIKI	GLOSS	WOLD	POS
5053	oven	5.25	Noun
6086	pot	5.26	Noun
361382	kettle	5.27	Noun
1071911	pan	5.28	Noun
154785	dish	5.31	Noun
154781	plate	5.32	Noun
6341	bowl	5.33	Noun
1505778	jug	5.34	Noun
1238556	pitcher	5.34	Noun
154685	cup	5.35	Noun
1505792	saucer	5.36	Noun
5944	spoon	5.37	Noun
5873	knife	5.38	Noun
5673	fork	5.39	Noun
1505799	tongs	5.391	Noun
6332	meal	5.41	Noun
5787	breakfast	5.42	Noun
343542	lunch	5.43	Noun
7654	dinner	5.44	Noun
7654	supper	5.45	Noun
1505825	peel	5.46	Verb
1160828	sieve	5.47	Verb
402886	to strain	5.47	Verb
7152	scrape	5.48	Verb
334889	stir	5.49	Verb
982997	to mix	5.49	Verb
5910	bread	5.51	Noun
1505807	dough	5.53	Noun
1505815	knead	5.54	Verb
6539	flour	5.55	Noun
632491	crush	5.56	Verb
441895	grind	5.56	Verb
2359	mill	5.57	Noun
1454028	mortar	5.58	Noun
1454217	pestle	5.59	Noun
2300	meat	5.61	Noun
8105	sausage	5.63	Noun
6390	soup	5.64	Noun
3953	vegetables	5.65	Noun
355931	bean	5.66	Noun
160661	potato	5.7	Noun
6280	fruit	5.71	Noun
908269	bunch	5.712	Noun
1510497	fig	5.75	Noun
393668	grape	5.76	Noun
1403728	nut	5.77	Noun
512617	olive	5.78	Noun
6195	oil	5.79	Noun
1510501	grease	5.791	Noun
5624	fat	5.791	Noun
5599	salt	5.81	Noun
5960	pepper	5.82	Noun
392603	chili pepper	5.821	Noun
404630	honey	5.84	Noun
3664	sugar	5.85	Noun
2358	milk	5.86	Noun
1166811	milk	5.87	Verb
6435	cheese	5.88	Noun
5505	butter	5.89	Noun
339	drink	5.9	Noun
403676	mead	5.91	Noun
6329	wine	5.92	Noun
6715	beer	5.93	Noun
1525942	fermented drink	5.94	Noun
340828	egg	5.97	Noun
6404	yolk	5.971	Noun
1510506	fig tree	5.99901	Noun
1188869	sated	5.99902	Adjective
909894	soy sauce	5.99903	Noun
859210	bacon	5.99905	Noun
1510510	biscuit	5.99906	Noun
906315	brandy	5.99907	Noun
344475	cabbage	5.99908	Noun
1510514	cassava flour	5.99909	Noun
6929	cream	5.9991	Noun
6252	jelly	5.99912	Noun
1510518	mochi	5.99914	Noun
467328	ramen noodles	5.99915	Noun
1510522	rice ball	5.99916	Noun
1510526	musubi	5.99916	Noun
898998	smoked food	5.99918	Noun
1510530	tamale	5.99919	Noun
5530	tofu	5.9992	Noun
5530	bean curd	5.9992	Noun
332233	tortilla	5.99921	Noun
423392	vinegar	5.99922	Noun
1335540	put on	6.11	Verb
621	clothing	6.12	Noun
8254	clothes	6.12	Noun
374399	tailor	6.13	Noun
6620	cloth	6.21	Noun
4174	wool	6.22	Noun
389134	linen	6.23	Noun
781	cotton	6.24	Noun
673408	silk	6.25	Noun
1510534	felt	6.27	Noun
1590	fur	6.28	Noun
2126	leather	6.29	Noun
1240334	spin	6.31	Verb
1505839	spindle	6.32	Noun
1280854	weave	6.33	Verb
7280	loom	6.34	Noun
6073	sew	6.35	Verb
5951	needle	6.36	Noun
1505847	awl	6.37	Noun
515580	thread	6.38	Noun
1335255	dye	6.39	Verb
1510537	cloak	6.41	Noun
1510543	poncho	6.411	Noun
154560	dress	6.42	Noun
161851	coat	6.43	Noun
6654	shirt	6.44	Noun
900585	collar	6.45	Noun
6552	skirt	6.46	Noun
1510547	grass-skirt	6.461	Noun
349559	trousers	6.48	Noun
6327	sock	6.49	Noun
1510550	stocking	6.49	Noun
5948	shoe	6.51	Noun
159566	boot	6.52	Noun
372056	shoemaker	6.54	Noun
344283	hat	6.55	Noun
5641	cap	6.55	Noun
344311	belt	6.57	Noun
369021	glove	6.58	Noun
510127	veil	6.59	Noun
7816	pocket	6.61	Noun
342095	button	6.62	Noun
1116679	pin	6.63	Noun
391992	ornament	6.71	Noun
756816	adornment	6.71	Noun
441479	jewel	6.72	Noun
5931	ring	6.73	Noun
710484	bracelet	6.74	Noun
900585	necklace	6.75	Noun
799152	bead	6.76	Noun
344234	earring	6.77	Noun
1510556	headband	6.78	Noun
1510560	headdress	6.78	Noun
1130256	tattoo	6.79	Noun
436343	handkerchief	6.81	Noun
1510563	rag	6.81	Noun
436437	towel	6.82	Noun
6157	comb	6.91	Noun
7562	brush	6.92	Noun
1510567	plait	6.921	Noun
447700	braid	6.921	Noun
1318581	razor	6.93	Noun
848858	ointment	6.94	Noun
3458	soap	6.95	Noun
520838	mirror	6.96	Noun
1478056	snowshoe	6.98	Noun
354587	bag	6.99901	Noun
1510574	fringe	6.99903	Noun
158094	pompom	6.99906	Noun
1383890	sandal	6.99907	Noun
1414327	sleeve	6.99908	Noun
494229	style	6.9991	Noun
507088	fashion	6.9991	Noun
420726	wear	6.99911	Verb
478515	live	7.11	Verb
5517	house	7.12	Noun
691328	hut	7.13	Noun
1525934	garden-house	7.131	Noun
5770	tent	7.14	Noun
339642	yard	7.15	Noun
1017244	court	7.15	Noun
1510578	cookhouse	7.17	Noun
1510584	meeting house	7.18	Noun
6065	room	7.21	Noun
1253751	door	7.22	Noun
6430	gate	7.22	Noun
1153341	doorpost	7.221	Noun
6546	lock	7.23	Noun
433601	latch	7.231	Noun
433601	door-bolt	7.231	Noun
1510588	padlock	7.232	Noun
6149	key	7.24	Noun
5932	window	7.25	Noun
6679	floor	7.26	Noun
3989	wall	7.27	Noun
1395201	fireplace	7.31	Noun
3637	stove	7.32	Noun
569	chimney	7.33	Noun
