ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
877	up	-	-	-	-	up, above <12.8>	-	-	-	-	-	-	-	-	-
878	to stand	-	-	-	-	-	-	-	-	-	5881 <45>	-	-	-	-
879	unripe	-	-	-	-	green, unripe <5.124>	-	-	-	-	-	-	-	-	-
880	bed	-	-	-	-	bed <7.42>	-	-	-	-	-	-	-	-	-
881	firefly	-	-	-	-	firefly <3.91>	-	-	-	-	-	-	-	-	-
882	basket	-	-	-	-	basket <9.76>	-	-	-	-	-	-	-	-	-
883	answer (V)	-	-	-	-	answer <18.32>	-	-	-	-	-	-	-	-	-
884	boy	-	-	-	-	boy <2.25>	-	-	-	-	-	-	-	-	-
885	yesterday	-	-	-	-	yesterday <14.49>	-	-	-	-	-	-	-	-	-
886	shovel	-	-	-	-	shovel <8.24>	-	-	-	-	-	-	-	-	-
887	to fall	-	-	-	-	-	-	-	-	-	2188 <82>	-	-	-	-
888	painful sensation	painful, sick <160>	-	-	-	-	-	-	-	-	-	-	-	-	-
889	gum 2	-	-	-	-	gums <4.271>	-	-	-	-	-	-	-	-	-
890	kitchen	-	-	-	-	cookhouse <7.17>	-	-	-	-	-	-	-	-	-
891	raise (V)	-	-	-	-	raise, lift <10.22>	-	-	-	-	-	-	-	-	-
892	square	-	-	-	-	square <12.78>	-	-	-	-	-	-	-	-	-
893	pay (V)	-	-	-	-	pay (vb) <11.65>	-	-	-	-	-	-	-	-	-
894	peel	-	-	-	-	peel <5.46>	-	-	-	-	-	-	-	-	-
895	to cry/weep	-	-	-	-	-	-	-	-	-	1417 <87>	-	-	-	-
896	stammer (V)	-	-	-	-	stutter, stammer <18.211>	-	-	-	-	-	-	-	-	-
897	orphan	-	-	-	-	orphan <2.75>	-	-	-	-	-	-	-	-	-
898	have (V)	-	-	-	-	have <11.11>	-	-	-	-	-	-	-	-	-
899	cease (V)	-	-	-	-	cease, stop <14.28>	-	-	-	-	-	-	-	-	-
900	secret	-	-	-	-	secret <17.36>	-	-	-	-	-	-	-	-	-
901	waist	-	-	-	-	waist <4.462>	-	-	-	-	-	-	-	-	-
902	often	-	-	-	-	often <14.32>	-	-	-	-	-	-	-	-	-
903	regret (V)	-	-	-	-	regret, be sorry <16.34>	-	-	-	-	-	-	-	-	-
904	to do/make	-	-	-	-	-	-	-	-	-	3729 <25>	-	-	-	-
905	young woman	-	-	-	-	young woman (adolescent) <2.261>	-	-	-	-	-	-	-	-	-
906	marriage	-	-	-	-	marriage, wedding <2.34>	-	-	-	-	-	-	-	-	-
907	stink	-	-	-	-	stinking, bad smelling <15.26>	-	-	-	-	-	-	-	-	-
908	divide (V)	-	-	-	-	divide <12.232>	-	-	-	-	-	-	-	-	-
909	seek (V)	-	-	-	-	seek, look for <11.31>	-	-	-	-	-	-	-	-	-
