ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
566	to hear	-	-	-	-	-	-	-	-	-	2939 <62>	-	-	-	-
567	age	-	-	-	-	age <14.12>	-	-	-	-	-	-	-	-	-
568	knot	-	-	-	-	knot (noun) <9.192>	-	-	-	-	-	-	-	-	-
569	weep (V)	-	-	-	-	-	-	-	-	-	-	weep <130>	-	-	-
570	young man	-	-	-	-	young man (adolescent) <2.251>	-	-	-	-	-	-	-	-	-
571	go out (V)	-	-	-	-	go out <10.474>	-	-	-	-	-	-	-	-	-
572	river	-	-	-	-	river, stream, brook <1.36>	-	-	-	-	-	-	-	-	-
573	shield	-	shield <124>	-	-	-	-	-	-	-	-	-	-	-	-
574	crawl (V)	-	-	-	-	creep, crawl <10.41>	-	-	-	-	-	-	-	-	-
575	bad	-	-	-	-	misfortune, bad luck <16.19>	-	-	-	-	-	-	-	-	-
576	bull	-	-	-	-	bull <3.21>	-	-	-	-	-	-	-	-	-
577	understand (V)	-	-	-	-	understand <17.16>	-	-	-	-	-	-	-	-	-
578	pus	-	-	-	-	pus <4.857>	-	-	-	-	-	-	-	-	-
579	silk	-	-	-	-	silk <6.25>	-	-	-	-	-	-	-	-	-
580	sieve (V)	-	-	-	-	sieve, strain <5.47>	-	-	-	-	-	-	-	-	-
581	always	-	-	-	-	always <14.31>	-	-	-	-	-	-	-	-	-
582	tax	-	-	-	-	tax, tribute <11.69>	-	-	-	-	-	-	-	-	-
583	stone/rock	-	-	-	-	-	-	-	-	-	5956 <27>	-	-	-	-
584	palm-tree	-	-	-	-	palm tree <8.81>	-	-	-	-	-	-	-	-	-
585	spider web	-	-	-	-	spider web <3.819>	-	-	-	-	-	-	-	-	-
586	limp	-	-	-	-	limp <10.451>	-	-	-	-	-	-	-	-	-
587	darkness	-	-	-	-	darkness <1.62>	-	-	-	-	-	-	-	-	-
588	edge	-	-	-	-	edge <12.353>	-	-	-	-	-	-	-	-	-
589	knife	-	-	-	-	knife <5.38>	-	-	-	-	-	-	-	-	-
590	to tie	-	-	-	-	-	-	-	-	-	6373 <88>	-	-	-	-
591	wax	-	-	-	-	beeswax <3.821>	-	-	-	-	-	-	-	-	-
592	who	-	-	-	-	-	-	-	6887 <95>	-	-	-	-	-	-
593	hiccough	-	-	-	-	hiccough <4.521>	-	-	-	-	-	-	-	-	-
594	skirt	-	-	-	-	skirt <6.46>	-	-	-	-	-	-	-	-	-
595	widow	-	-	-	-	widow <2.76>	-	-	-	-	-	-	-	-	-
596	condemn (V)	-	-	-	-	condemn <21.32>	-	-	-	-	-	-	-	-	-
597	captive	-	-	-	-	captive, prisoner <20.47>	-	-	-	-	-	-	-	-	-
598	do (V)	-	-	-	-	do, make <9.11>	-	-	-	-	-	-	-	-	-
599	herdsman	-	-	-	-	herdsman <3.18>	-	-	-	-	-	-	-	-	-
600	chilli-pepper	-	-	-	-	chili pepper <5.821>	-	-	-	-	-	-	-	-	-
601	tell (V)	-	-	-	-	tell story <18.221>	-	-	-	-	-	-	-	-	-
602	drown (V)	-	-	-	-	drowned <4.751>	-	-	-	-	-	-	-	-	-
603	shine (V)	-	-	-	-	seem <17.18>	-	-	-	-	-	-	-	-	-
604	nest	-	-	-	-	nest <3.58>	-	-	-	-	-	-	-	-	-
605	jealousy	-	-	-	-	envy, jealousy <16.44>	-	-	-	-	-	-	-	-	-
606	mow (V)	-	-	-	-	mow, reap <8.32>	-	-	-	-	-	-	-	-	-
607	lamb	-	-	-	-	lamb <3.29>	-	-	-	-	-	-	-	-	-
608	cough	-	-	-	-	cough <4.53>	-	-	-	-	-	-	-	-	-
609	coat	-	-	-	-	coat <6.43>	-	-	-	-	-	-	-	-	-
610	saw	-	-	-	-	saw <9.48>	-	-	-	-	-	-	-	-	-
611	light 2	-	-	-	-	light (in color) <15.62>	-	-	-	-	-	-	-	-	-
612	winter	-	-	-	-	winter <14.74>	-	-	-	-	-	-	-	-	-
613	hut	-	-	-	-	hut <7.13>	-	-	-	-	-	-	-	-	-
614	fly	-	-	-	-	-	-	-	-	-	2432 <20>	-	-	-	-
615	alone	-	-	-	-	alone, only <13.33>	-	-	-	-	-	-	-	-	-
616	bruise (V)	-	-	-	-	bruise <4.852>	-	-	-	-	-	-	-	-	-
617	centipede	-	-	-	-	centipede <3.814>	-	-	-	-	-	-	-	-	-
618	mast	-	-	-	-	mast <10.87>	-	-	-	-	-	-	-	-	-
619	bury (V)	-	-	-	-	bury (the dead) <4.78>	-	-	-	-	-	-	-	-	-
620	score	-	-	-	-	-	-	-	-	-	-	twenty/score <115>	-	-	-
621	grave	-	-	-	-	grave, tomb <4.79>	-	-	-	-	-	-	-	-	-
622	to say	-	-	-	-	-	-	-	-	-	5267 <29>	-	-	-	-
623	hide	-	-	-	-	skin, hide <4.12>	-	-	-	-	-	-	-	-	-
624	rock	-	-	-	-	stone, rock <1.44>	-	-	-	-	-	-	-	-	-
625	teach (V)	-	-	-	-	teach <17.25>	-	-	-	-	-	-	-	-	-
626	price	-	-	-	-	price <11.87>	-	-	-	-	-	-	-	-	-
627	boot	-	-	-	-	boot <6.52>	-	-	-	-	-	-	-	-	-
628	famine	-	-	-	-	famine <5.141>	-	-	-	-	-	-	-	-	-
629	carry (V)	-	-	-	-	carry (bear) <10.61>	-	-	-	-	-	-	-	-	-
630	banana	-	-	-	-	-	-	-	-	-	-	plaintain/banana <51>	-	-	-
631	ride (V)	-	-	-	-	ride <10.66>	-	-	-	-	-	-	-	-	-
632	livestock	-	-	-	-	livestock <3.15>	-	-	-	-	-	-	-	-	-
633	wrist	-	-	-	-	wrist <4.321>	-	-	-	-	-	-	-	-	-
634	carriage	-	-	-	-	carriage, wagon, cart <10.75>	-	-	-	-	-	-	-	-	-
635	rich	-	-	-	-	rich <11.51>	-	-	-	-	-	-	-	-	-
636	shark	-	-	-	-	shark <3.661>	-	-	-	-	-	-	-	-	-
637	hook	-	-	-	-	fishhook <20.52>	-	-	-	-	-	-	-	-	-
638	debt	-	-	-	-	owe <11.63>	-	-	-	-	-	-	-	-	-
639	collect (V)	-	-	-	-	collect, gather <12.21>	-	-	-	-	-	-	-	-	-
640	bracelet	-	-	-	-	bracelet <6.74>	-	-	-	-	-	-	-	-	-
641	midday	-	-	-	-	noon, midday <14.45>	-	-	-	-	-	-	-	-	-
642	happy	-	-	-	-	joyful, glad, happy <16.23>	-	-	-	-	-	-	-	-	-
643	vegetable food	-	vegetable food <31>	-	-	-	-	-	-	-	-	-	-	-	-
644	holy	-	-	-	-	holy, sacred <22.19>	-	-	-	-	-	-	-	-	-
645	vulture	-	-	-	-	vulture <3.586>	-	-	-	-	-	-	-	-	-
646	grandfather	-	-	-	-	grandfather <2.46>	-	-	-	-	-	-	-	-	-
647	chain	-	-	-	-	chain <9.18>	-	-	-	-	-	-	-	-	-
648	cave	-	-	-	-	cave <1.28>	-	-	-	-	-	-	-	-	-
649	market	-	-	-	-	market (place) <11.85>	-	-	-	-	-	-	-	-	-
650	wring (V)	-	-	-	-	squeeze, wring <9.343>	-	-	-	-	-	-	-	-	-
651	stutter (V)	-	-	-	-	stutter, stammer <18.211>	-	-	-	-	-	-	-	-	-
652	hang up (V)	-	-	-	-	hang up <9.341>	-	-	-	-	-	-	-	-	-
653	shoot	shoot <70>	-	-	-	-	-	-	-	-	-	-	-	-	-
654	clothing	-	-	-	-	clothing, clothes <6.12>	-	-	-	-	-	-	-	-	-
655	scorpion	-	-	-	-	scorpion <3.815>	-	-	-	-	-	-	-	-	-
656	every	-	-	-	-	every, all <13.14>	-	-	-	-	-	-	-	-	-
657	summer	-	-	-	-	summer <14.76>	-	-	-	-	-	-	-	-	-
658	small	-	-	-	-	small, little <12.56>	-	-	-	-	-	-	-	-	-
659	get (V)	-	to get, pick up <34>	-	-	-	-	-	-	-	-	-	-	-	-
660	long time	-	-	-	-	long-time (for a) <14.332>	-	-	-	-	-	-	-	-	-
661	pile up (V)	-	-	-	-	pile up <12.213>	-	-	-	-	-	-	-	-	-
662	hay	-	-	-	-	hay <8.52>	-	-	-	-	-	-	-	-	-
663	twice	-	-	-	-	two times <13.38>	-	-	-	-	-	-	-	-	-
664	bald	-	-	-	-	bald <4.93>	-	-	-	-	-	-	-	-	-
665	row	-	-	-	-	row (vb) <10.852>	-	-	-	-	-	-	-	-	-
666	crowd	-	-	-	-	multitude, crowd <13.19>	-	-	-	-	-	-	-	-	-
667	jug	-	-	-	-	pitcher, jug <5.34>	-	-	-	-	-	-	-	-	-
668	praise (V)	-	-	-	-	praise <16.79>	-	-	-	-	-	-	-	-	-
669	banana tree	-	-	-	-	banana tree <8.84>	-	-	-	-	-	-	-	-	-
670	to see	-	-	-	-	-	-	-	-	-	5347 <89>	-	-	-	-
671	nit	-	-	-	-	nit (louse egg) <3.812>	-	-	-	-	-	-	-	-	-
672	leather	-	-	-	-	leather <6.29>	-	-	-	-	-	-	-	-	-
673	frighten (V)	-	-	-	-	-	-	-	-	-	-	fear/frighten <144>	-	-	-
674	mill	-	-	-	-	mill <5.57>	-	-	-	-	-	-	-	-	-
675	wall	-	-	-	-	wall <7.27>	-	-	-	-	-	-	-	-	-
676	pumpkin	-	-	-	-	pumpkin, squash <8.931>	-	-	-	-	-	-	-	-	-
677	subject	-	-	-	-	citizen, subject <19.37>	-	-	-	-	-	-	-	-	-
678	he-goat	-	-	-	-	he-goat <3.37>	-	-	-	-	-	-	-	-	-
679	mountain	-	-	-	-	mountain, hill <1.22>	-	-	-	-	-	-	-	-	-
680	whale	-	-	-	-	whale <3.663>	-	-	-	-	-	-	-	-	-
681	moan (V)	-	-	-	-	groan <16.39>	-	-	-	-	-	-	-	-	-
682	possess (V)	-	-	-	-	own, possess <11.12>	-	-	-	-	-	-	-	-	-
683	felt	-	-	-	-	felt <6.27>	-	-	-	-	-	-	-	-	-
684	well 2	-	-	-	-	spring, well <1.37>	-	-	-	-	-	-	-	-	-
685	window	-	-	-	-	window <7.25>	-	-	-	-	-	-	-	-	-
686	envy	-	-	-	-	envy, jealousy <16.44>	-	-	-	-	-	-	-	-	-
687	lend (V)	-	-	-	-	lend <11.61>	-	-	-	-	-	-	-	-	-
688	damp	-	-	-	-	wet, damp <15.83>	-	-	-	-	-	-	-	-	-
689	pine	-	-	-	-	pine <8.64>	-	-	-	-	-	-	-	-	-
690	colour	-	-	-	-	color <15.61>	-	-	-	-	-	-	-	-	-
691	island	-	-	-	-	island <1.25>	-	-	-	-	-	-	-	-	-
692	broth	-	-	-	-	soup, broth <5.64>	-	-	-	-	-	-	-	-	-
693	scythe	-	-	-	-	sickle, scythe <8.33>	-	-	-	-	-	-	-	-	-
694	twist (V)	-	-	-	-	twist <10.17>	-	-	-	-	-	-	-	-	-
695	omen	-	-	-	-	omen, portent <22.47>	-	-	-	-	-	-	-	-	-
696	scissors	-	-	-	-	scissors, shears <9.24>	-	-	-	-	-	-	-	-	-
697	perspire (V)	-	-	-	-	perspire <4.55>	-	-	-	-	-	-	-	-	-
698	house	-	-	-	-	-	-	-	-	-	3074 <26>	-	-	-	-
699	grain	-	-	-	-	grain (barley, oats etc) <8.42>	-	-	-	-	-	-	-	-	-
700	bead	-	-	-	-	bead <6.76>	-	-	-	-	-	-	-	-	-
701	shoe	-	-	-	-	shoemaker, cobbler <6.54>	-	-	-	-	-	-	-	-	-
702	pawn	-	-	-	-	farmer <8.11>	-	-	-	-	-	-	-	-	-
703	latch	-	-	-	-	latch, door-bolt <7.231>	-	-	-	-	-	-	-	-	-
704	adornment	-	-	-	-	ornament, adornment <6.71>	-	-	-	-	-	-	-	-	-
705	buttocks	-	-	-	-	buttocks <4.464>	-	-	-	-	-	-	-	-	-
706	cry (V)	-	-	-	-	cry, weep <16.37>	-	-	-	-	-	-	-	-	-
707	joint	-	-	-	-	-	-	-	-	-	-	joint <98>	-	-	-
708	promise (V)	-	-	-	-	promise <18.36>	-	-	-	-	-	-	-	-	-
709	whirlpool	-	-	-	-	whirlpool <1.362>	-	-	-	-	-	-	-	-	-
710	trade	-	-	-	-	trade, barter <11.83>	-	-	-	-	-	-	-	-	-
711	ancestor	-	-	-	-	ancestors <2.56>	-	-	-	-	-	-	-	-	-
712	second	-	-	-	-	second <13.36>	-	-	-	-	-	-	-	-	-
713	trousers	-	-	-	-	trousers <6.48>	-	-	-	-	-	-	-	-	-
714	spine	-	-	-	-	spine <4.191>	-	-	-	-	-	-	-	-	-
715	lung	-	-	-	-	lung <4.441>	-	-	-	-	-	-	-	-	-
716	place	-	-	-	-	place <12.11>	-	-	-	-	-	-	-	-	-
717	bright	-	-	-	-	bright <15.57>	-	-	-	-	-	-	-	-	-
718	piece	-	-	-	-	part, piece <13.23>	-	-	-	-	-	-	-	-	-
719	granddaughter	-	-	-	-	granddaughter <2.49>	-	-	-	-	-	-	-	-	-
720	bake (V)	-	-	-	-	bake <5.24>	-	-	-	-	-	-	-	-	-
721	stir (V)	-	-	-	-	stir, mix <5.49>	-	-	-	-	-	-	-	-	-
722	loud	-	-	-	-	loud <15.45>	-	-	-	-	-	-	-	-	-
723	move (V)	-	-	-	-	move <10.11>	-	-	-	-	-	-	-	-	-
724	glad	-	-	-	-	joyful, glad, happy <16.23>	-	-	-	-	-	-	-	-	-
725	marrow	-	-	-	-	-	-	-	-	-	-	marrow <38>	-	-	-
726	aunt	-	-	-	-	aunt <2.52>	-	-	-	-	-	-	-	-	-
727	heel	-	-	-	-	heel <4.372>	-	-	-	-	-	-	-	-	-
728	paint (V)	-	-	-	-	paint (noun) <9.88>	-	-	-	-	-	-	-	-	-
