ID	Gloss	abvd	alpher	asjp	dolgo	ids	ielex	jach100	jach65	jachontov	leijaka	matisoff	starostin	swadesh100	swadesh100b	swadesh200
157	wet	wet <141>	-	-	-	wet, damp <15.83>	wet <194>	-	-	-	-	-	-	-	wet <22>	wet <183>
158	cut (V)	to cut, hack <78>	to cut <15>	-	-	-	to cut <114>	-	-	-	-	drive/hunt <200>	-	-	-	to cut <26>
159	in	in, inside <174>	-	-	-	-	in <202>	-	-	-	in <98>	-	-	-	in <40>	in <81>
160	sea	sea <124>	-	-	-	sea <1.32>	sea (as in ocean) <154>	-	-	-	-	-	-	-	sea <19>	sea (ocean) <129>
161	claw	-	-	-	-	claw <4.345>	fingernail <79>	-	-	-	-	nail/claw <26>	claw (nail) <13>	claw (nail) <13>	-	-
162	where	where? <181>	where? <96>	-	-	-	where <13>	-	-	-	-	-	-	-	where <6>	where? <186>
163	wash (V)	-	-	-	-	wash <9.36>	to wash <132>	-	-	-	-	wash <185>	-	-	wash <23>	to wash <180>
164	smell (V)	to sniff, smell <29>	to smell it <72>	-	-	-	to smell (sense odor) <105>	-	-	-	-	smell <150>	-	-	-	to smell (perceive odor) <141>
165	dirty	dirty <10>	-	-	-	dirty, soiled <15.88>	dirty <188>	-	-	-	-	-	-	-	dirty <64>	dirty <30>
166	fat	fat/grease <104>	fat, grease <27>	-	-	-	fat (noun) <66>	-	-	-	-	fat/grease <7>	-	-	-	-
167	straight	-	-	-	-	straight <12.73>	straight <189>	-	-	-	-	-	-	-	straight <68>	straight <155>
168	right	-	-	-	-	right, correct <16.73>	right (correct) <196>	-	-	-	-	-	-	-	right <71>	right (correct) <117>
169	how	how? <194>	-	-	-	-	how <15>	-	-	-	-	-	-	-	how <4>	how <75>
170	rub (V)	-	-	-	-	-	to rub <131>	-	-	-	-	rub <194>	-	-	rub <73>	to rub <124>
171	navel	-	-	-	-	navel <4.43>	-	-	-	-	navel <44>	navel <32>	-	-	navel <32>	-
172	climb (V)	to climb <172>	to climb <13>	-	-	climb <10.472>	-	-	-	-	-	climb, ascend <138>	-	-	-	-
173	at	at <173>	-	-	-	-	at <201>	-	-	-	-	-	-	-	at <41>	at <5>
174	hunt (V)	to hunt <69>	-	-	-	-	to hunt (transitive) <112>	-	-	-	-	drive/hunt <200>	-	-	-	to hunt (game) <76>
175	sing (V)	-	-	-	-	sing <18.12>	to sing <141>	-	-	-	-	-	-	-	sing <86>	to sing <135>
176	left side	left <2>	-	-	-	-	left (side) <200>	-	-	-	-	left side <110>	-	-	-	left (hand) <87>
177	pull (V)	-	-	-	-	pull <9.33>	to pull <134>	-	-	-	-	-	-	-	pull <74>	to pull <113>
178	when	when? <170>	-	-	-	-	when <14>	-	-	-	-	-	-	-	when <5>	when? <185>
179	house	house <61>	-	-	-	house <7.12>	-	-	-	-	house <26>	house <105>	-	-	-	-
180	smooth	-	-	-	-	smooth <15.77>	smooth <193>	-	-	-	-	-	-	-	smooth <67>	smooth <143>
181	swell (V)	to swell <87>	-	-	-	-	to swell <146>	-	-	-	-	-	-	-	swell <84>	to swell <158>
182	stick	stick/wood <79>	-	-	-	-	stick (of wood) <53>	-	-	-	-	stick <88>	-	-	-	stick (of wood) <153>
183	run (V)	-	to run <105>	-	-	run <10.46>	-	-	-	-	to run <81>	run/flee <142>	-	-	-	-
184	scratch (V)	to scratch <77>	-	-	-	-	to scratch (an itch) <117>	-	-	-	-	scratch(scrape <182>	-	-	-	to scratch (as with fingernails to relieve itch) <128>
185	right side	right <3>	-	-	-	-	right (side) <199>	-	-	-	-	right side <111>	-	-	-	right (hand) <118>
186	sleep	to sleep <48>	-	-	-	sleep <4.61>	-	sleep <73>	sleep <51>	-	-	-	-	-	-	-
187	ice	-	-	-	-	ice <1.77>	ice <165>	-	-	-	-	-	-	-	ice <48>	ice <79>
188	snow	-	-	-	-	snow (noun) <1.76>	snow <164>	-	-	-	-	-	-	-	snow <49>	snow <145>
189	gut	-	-	-	-	-	guts <86>	-	-	-	-	guts <9>	-	-	guts <33>	guts <64>
190	wood	stick/wood <79>	-	-	-	wood <1.43>	-	-	-	-	wood <80>	tree/wood <91>	-	-	-	-
