ID	Gloss	abvd	alpher	asjp	dolgo	ids	ielex	jach100	jach65	jachontov	leijaka	matisoff	starostin	swadesh100	swadesh100b	swadesh200
797	perspire (V)	-	-	-	-	perspire <4.55>	-	-	-	-	-	-	-	-	-	-
798	ankle	-	-	-	-	ankle <4.371>	-	-	-	-	-	-	-	-	-	-
799	girl	-	-	-	-	girl <2.26>	-	-	-	-	-	-	-	-	-	-
800	measure	-	-	-	-	measure <12.54>	-	-	-	-	-	-	-	-	-	-
801	chair	-	-	-	-	chair <7.43>	-	-	-	-	-	-	-	-	-	-
802	strain (V)	-	-	-	-	sieve, strain <5.47>	-	-	-	-	-	-	-	-	-	-
803	broad	-	-	-	-	wide, broad <12.61>	-	-	-	-	-	-	-	-	-	-
804	rag	-	-	-	-	handkerchief, rag <6.81>	-	-	-	-	-	-	-	-	-	-
805	early	-	-	-	-	early <14.16>	-	-	-	-	-	-	-	-	-	-
806	try (V)	-	-	-	-	try, attempt <17.48>	-	-	-	-	-	-	-	-	-	-
807	liquor	-	-	-	-	-	-	-	-	-	-	liquor <50>	-	-	-	-
808	spearthrower	-	spearthrower <125>	-	-	-	-	-	-	-	-	-	-	-	-	-
809	help (V)	-	-	-	-	help, aid <19.58>	-	-	-	-	-	-	-	-	-	-
810	ignite (V)	-	-	-	-	light, kindle, ignite <1.86>	-	-	-	-	-	-	-	-	-	-
811	kid	-	-	-	-	kid <3.38>	-	-	-	-	-	-	-	-	-	-
812	boil	-	-	-	-	boil (noun) <4.856>	-	-	-	-	-	-	-	-	-	-
813	lame	-	-	-	-	lame <4.94>	-	-	-	-	-	-	-	-	-	-
814	loosen (V)	-	-	-	-	-	-	-	-	-	-	let go; set free; loosen <187>	-	-	-	-
815	merchant	-	-	-	-	merchant <11.84>	-	-	-	-	-	-	-	-	-	-
816	arms	-	-	-	-	weapons, arms <20.21>	-	-	-	-	-	-	-	-	-	-
817	weary	-	-	-	-	tired, weary <4.91>	-	-	-	-	-	-	-	-	-	-
818	collarbone	-	-	-	-	collarbone <4.302>	-	-	-	-	-	-	-	-	-	-
819	duck	-	-	-	-	duck <3.57>	-	-	-	-	-	-	-	-	-	-
820	cockroach	-	-	-	-	cockroach <3.816>	-	-	-	-	-	-	-	-	-	-
821	ancestor	-	-	-	-	ancestors <2.56>	-	-	-	-	-	-	-	-	-	-
822	look for (V)	-	-	-	-	seek, look for <11.31>	-	-	-	-	-	-	-	-	-	-
823	spear	-	spear (N) <77>	-	-	-	-	-	-	-	-	-	-	-	-	-
824	clay	-	-	-	-	clay <9.73>	-	-	-	-	-	-	-	-	-	-
825	grandchild	-	-	-	-	-	-	-	-	-	-	grandchild (nephew) <44>	-	-	-	-
826	rub (V)	-	-	-	-	rub, wipe <9.31>	-	-	-	-	-	-	-	-	-	-
827	unripe	-	-	-	-	green, unripe <5.124>	-	-	-	-	-	-	-	-	-	-
828	earn (V)	-	-	-	-	earn <11.79>	-	-	-	-	-	-	-	-	-	-
829	deceit	-	-	-	-	deceit <16.68>	-	-	-	-	-	-	-	-	-	-
830	lead	-	-	-	-	lead (noun) <9.68>	-	-	-	-	-	-	-	-	-	-
831	lose (V)	-	-	-	-	lose <11.33>	-	-	-	-	-	-	-	-	-	-
832	mountain	-	-	-	-	mountain, hill <1.22>	-	-	-	-	-	-	-	-	-	-
833	furrow	-	-	-	-	furrow <8.212>	-	-	-	-	-	-	-	-	-	-
834	womb	-	-	-	-	womb <4.47>	-	-	-	-	-	-	-	-	-	-
835	leap (V)	-	-	-	-	jump, leap <10.43>	-	-	-	-	-	-	-	-	-	-
836	keep (V)	-	-	-	-	keep, retain <11.17>	-	-	-	-	-	-	-	-	-	-
837	beautiful	-	-	-	-	beautiful <16.81>	-	-	-	-	-	-	-	-	-	-
838	butter	-	-	-	-	butter <5.89>	-	-	-	-	-	-	-	-	-	-
839	endure (V)	-	-	-	-	last, endure <14.252>	-	-	-	-	-	-	-	-	-	-
840	sphere	-	-	-	-	sphere, ball <12.83>	-	-	-	-	-	-	-	-	-	-
841	spread out (V)	-	-	-	-	spread out <9.34>	-	-	-	-	-	-	-	-	-	-
842	sick	painful, sick <160>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
843	cloak	-	-	-	-	cloak <6.41>	-	-	-	-	-	-	-	-	-	-
844	oak	-	-	-	-	oak <8.61>	-	-	-	-	-	-	-	-	-	-
845	maize	-	-	-	-	maize, corn <8.47>	-	-	-	-	-	-	-	-	-	-
846	corner	-	-	-	-	corner <12.76>	-	-	-	-	-	-	-	-	-	-
847	rich	-	-	-	-	rich <11.51>	-	-	-	-	-	-	-	-	-	-
848	boar	-	-	-	-	boar <3.32>	-	-	-	-	-	-	-	-	-	-
849	oar	-	-	-	-	oar <10.85>	-	-	-	-	-	-	-	-	-	-
850	believe (V)	-	-	-	-	believe <17.15>	-	-	-	-	-	-	-	-	-	-
851	outside	-	-	-	-	outside <12.6>	-	-	-	-	-	-	-	-	-	-
852	divide (V)	-	-	-	-	divide <12.232>	-	-	-	-	-	-	-	-	-	-
853	plough (V)	-	-	-	-	plow <8.21>	-	-	-	-	-	-	-	-	-	-
854	old woman	-	-	-	-	old woman <2.471>	-	-	-	-	-	-	-	-	-	-
855	stepmother	-	-	-	-	stepmother <2.72>	-	-	-	-	-	-	-	-	-	-
856	forge (V)	-	-	-	-	forge <9.61>	-	-	-	-	-	-	-	-	-	-
857	hack (V)	to cut, hack <78>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
858	quarrel (V)	-	-	-	-	strife, quarrel <19.62>	-	-	-	-	-	-	-	-	-	-
859	pea	-	-	-	-	-	-	-	-	-	-	peas, beans <47>	-	-	-	-
860	murder (V)	-	-	-	-	murder <21.42>	-	-	-	-	-	-	-	-	-	-
861	pot	-	-	-	-	pot, cooking vessel <5.26>	-	-	-	-	-	-	-	-	-	-
862	thorn	-	-	-	-	-	-	-	-	-	-	thorn(prick) <99>	-	-	-	-
863	beverage	-	-	-	-	beverage, drink <5.9>	-	-	-	-	-	-	-	-	-	-
864	vulture	-	-	-	-	vulture <3.586>	-	-	-	-	-	-	-	-	-	-
865	mirror	-	-	-	-	mirror <6.96>	-	-	-	-	-	-	-	-	-	-
866	herdsman	-	-	-	-	herdsman <3.18>	-	-	-	-	-	-	-	-	-	-
867	camel	-	-	-	-	camel <3.78>	-	-	-	-	-	-	-	-	-	-
868	bad	-	-	-	-	stinking, bad smelling <15.26>	-	-	-	-	-	-	-	-	-	-
869	empty	-	-	-	-	empty <13.22>	-	-	-	-	-	-	-	-	-	-
870	look (V)	-	-	-	-	look, look at <15.52>	-	-	-	-	-	-	-	-	-	-
871	foam	-	-	-	-	foam <1.324>	-	-	-	-	-	-	-	-	-	-
872	grandmother	-	-	-	-	grandmother <2.47>	-	-	-	-	-	-	-	-	-	-
873	tie up (V)	to tie up, fasten <66>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
874	shit (V)	-	-	-	-	-	-	-	-	-	-	shit <33>	-	-	-	-
875	cock 1	-	-	-	-	cock, rooster <3.52>	-	-	-	-	-	-	-	-	-	-
876	deny (V)	-	-	-	-	deny <18.34>	-	-	-	-	-	-	-	-	-	-
877	fifty	Fifty <208>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
878	shark	-	-	-	-	shark <3.661>	-	-	-	-	-	-	-	-	-	-
879	lift (V)	-	-	-	-	raise, lift <10.22>	-	-	-	-	-	-	-	-	-	-
880	copper	-	-	-	-	copper, bronze <9.66>	-	-	-	-	-	-	-	-	-	-
881	grief	-	-	-	-	grief, sorrow, sadness <16.32>	-	-	-	-	-	-	-	-	-	-
882	kiss	-	-	-	-	kiss <16.29>	-	-	-	-	-	-	-	-	-	-
883	lamb	-	-	-	-	lamb <3.29>	-	-	-	-	-	-	-	-	-	-
884	threshing-floor	-	-	-	-	threshing-floor <8.35>	-	-	-	-	-	-	-	-	-	-
885	adze	-	-	-	-	adze <9.251>	-	-	-	-	-	-	-	-	-	-
886	boast (V)	-	-	-	-	boast <18.45>	-	-	-	-	-	-	-	-	-	-
887	beak	-	-	-	-	beak <4.241>	-	-	-	-	-	-	-	-	-	-
888	proud	-	-	-	-	proud <16.48>	-	-	-	-	-	-	-	-	-	-
889	butterfly	-	-	-	-	butterfly <3.92>	-	-	-	-	-	-	-	-	-	-
890	banana tree	-	-	-	-	banana tree <8.84>	-	-	-	-	-	-	-	-	-	-
891	flea	-	-	-	-	flea <3.813>	-	-	-	-	-	-	-	-	-	-
892	foolish	-	-	-	-	foolish, stupid <17.22>	-	-	-	-	-	-	-	-	-	-
893	pile up (V)	-	-	-	-	pile up <12.213>	-	-	-	-	-	-	-	-	-	-
894	market	-	-	-	-	market (place) <11.85>	-	-	-	-	-	-	-	-	-	-
895	beard	-	-	-	-	beard <4.142>	-	-	-	-	-	-	-	-	-	-
896	headdress	-	-	-	-	headband, headdress <6.78>	-	-	-	-	-	-	-	-	-	-
897	uncle	-	-	-	-	uncle <2.51>	-	-	-	-	-	-	-	-	-	-
898	snore (V)	-	-	-	-	snore <4.612>	-	-	-	-	-	-	-	-	-	-
899	kitchen	-	-	-	-	cookhouse <7.17>	-	-	-	-	-	-	-	-	-	-
900	shoe	-	-	-	-	shoemaker, cobbler <6.54>	-	-	-	-	-	-	-	-	-	-
901	meal	-	-	-	-	meal (a) <5.41>	-	-	-	-	-	-	-	-	-	-
902	gold	-	-	-	-	gold <9.64>	-	-	-	-	-	-	-	-	-	-
903	match	-	-	-	-	match (noun) <1.87>	-	-	-	-	-	-	-	-	-	-
904	healthy	-	-	-	-	well, health <4.83>	-	-	-	-	-	-	-	-	-	-
905	press (V)	-	-	-	-	press <9.342>	-	-	-	-	-	-	-	-	-	-
906	calf	-	-	-	-	calf <3.24>	-	-	-	-	-	-	-	-	-	-
907	rabbit	-	-	-	-	rabbit <3.614>	-	-	-	-	-	-	-	-	-	-
908	joyful	-	-	-	-	joyful, glad, happy <16.23>	-	-	-	-	-	-	-	-	-	-
909	stretch (V)	-	-	-	-	stretch <9.32>	-	-	-	-	-	-	-	-	-	-
910	blister	-	-	-	-	blister <4.855>	-	-	-	-	-	-	-	-	-	-
911	stay (V)	-	-	-	-	remain, stay <12.16>	-	-	-	-	-	-	-	-	-	-
912	understand (V)	-	-	-	-	understand <17.16>	-	-	-	-	-	-	-	-	-	-
913	awaken (V)	-	-	-	-	-	-	-	-	-	-	awaken <133>	-	-	-	-
914	collar	-	-	-	-	collar <6.45>	-	-	-	-	-	-	-	-	-	-
915	nipple	-	-	-	-	nipple, teat <4.412>	-	-	-	-	-	-	-	-	-	-
916	school	-	-	-	-	school <17.28>	-	-	-	-	-	-	-	-	-	-
917	chain	-	-	-	-	chain <9.18>	-	-	-	-	-	-	-	-	-	-
918	after	-	-	-	-	after <12.1>	-	-	-	-	-	-	-	-	-	-
919	ball	-	-	-	-	sphere, ball <12.83>	-	-	-	-	-	-	-	-	-	-
920	yamstick	-	yamstick <146>	-	-	-	-	-	-	-	-	-	-	-	-	-
921	remember (V)	-	-	-	-	remember <17.31>	-	-	-	-	-	-	-	-	-	-
922	conceive (V)	-	-	-	-	conceive <4.732>	-	-	-	-	-	-	-	-	-	-
923	spleen	-	-	-	-	spleen <4.452>	-	-	-	-	-	-	-	-	-	-
924	pocket	-	-	-	-	pocket <6.61>	-	-	-	-	-	-	-	-	-	-
925	soul	-	-	-	-	soul, spirit <16.11>	-	-	-	-	-	-	-	-	-	-
926	dolphin	-	-	-	-	porpoise, dolphin <3.662>	-	-	-	-	-	-	-	-	-	-
927	mouse	-	-	-	-	mouse, rat <3.63>	-	-	-	-	-	-	-	-	-	-
928	inside	-	-	-	-	inside, in <12.5>	-	-	-	-	-	-	-	-	-	-
929	hen	-	-	-	-	hen <3.54>	-	-	-	-	-	-	-	-	-	-
930	bring (V)	-	-	-	-	bring <10.62>	-	-	-	-	-	-	-	-	-	-
931	palm-tree	-	-	-	-	palm tree <8.81>	-	-	-	-	-	-	-	-	-	-
932	breakfast	-	-	-	-	breakfast <5.42>	-	-	-	-	-	-	-	-	-	-
933	hunger	-	-	-	-	hunger <5.14>	-	-	-	-	-	-	-	-	-	-
934	noon	-	-	-	-	noon, midday <14.45>	-	-	-	-	-	-	-	-	-	-
935	goanna	-	goanna <149>	-	-	-	-	-	-	-	-	-	-	-	-	-
936	snot	-	-	-	-	-	-	-	-	-	-	snot <36>	-	-	-	-
937	carry on shoulder (V)	-	-	-	-	carry-on-shoulder <10.613>	-	-	-	-	-	-	-	-	-	-
938	ship	-	-	-	-	ship <10.81>	-	-	-	-	-	-	-	-	-	-
939	holy	-	-	-	-	holy, sacred <22.19>	-	-	-	-	-	-	-	-	-	-
940	write (V)	-	-	-	-	write <18.51>	-	-	-	-	-	-	-	-	-	-
941	shame	-	-	-	-	shame (noun) <16.45>	-	-	-	-	-	-	-	-	-	-
942	barley	-	-	-	-	barley <8.44>	-	-	-	-	-	-	-	-	-	-
943	above	-	-	-	-	up, above <12.8>	-	-	-	-	-	-	-	-	-	-
944	cut down (V)	-	-	-	-	cut down <9.221>	-	-	-	-	-	-	-	-	-	-
945	thread	-	-	-	-	thread <6.38>	-	-	-	-	-	-	-	-	-	-
946	imitate (V)	-	-	-	-	imitate <17.172>	-	-	-	-	-	-	-	-	-	-
947	chop (V)	-	-	-	-	chop, hew <9.222>	-	-	-	-	-	-	-	-	-	-
948	drug	-	-	-	-	medicine, drug <4.88>	-	-	-	-	-	-	-	-	-	-
949	have (V)	-	-	-	-	have <11.11>	-	-	-	-	-	-	-	-	-	-
950	excrement	-	excrement <23>	-	-	-	-	-	-	-	-	-	-	-	-	-
951	kidney	-	-	-	-	kidney <4.451>	-	-	-	-	-	-	-	-	-	-
952	pray (V)	-	-	-	-	pray <22.17>	-	-	-	-	-	-	-	-	-	-
953	possess (V)	-	-	-	-	own, possess <11.12>	-	-	-	-	-	-	-	-	-	-
954	crazy	-	-	-	-	insane, crazy <17.23>	-	-	-	-	-	-	-	-	-	-
955	beehive	-	-	-	-	beehive <3.822>	-	-	-	-	-	-	-	-	-	-
956	widower	-	-	-	-	widower <2.77>	-	-	-	-	-	-	-	-	-	-
957	cry out (V)	-	-	-	-	shout, cry out <18.13>	-	-	-	-	-	-	-	-	-	-
958	low	-	-	-	-	low <12.32>	-	-	-	-	-	-	-	-	-	-
959	find (V)	-	-	-	-	find <11.32>	-	-	-	-	-	-	-	-	-	-
960	twin	-	-	-	-	twins <2.458>	-	-	-	-	-	-	-	-	-	-
961	shallow	-	-	-	-	shallow <12.68>	-	-	-	-	-	-	-	-	-	-
962	wrinkled	-	-	-	-	wrinkled <15.89>	-	-	-	-	-	-	-	-	-	-
963	table	-	-	-	-	table <7.44>	-	-	-	-	-	-	-	-	-	-
964	talk (V)	-	-	-	-	speak, talk <18.21>	-	-	-	-	-	-	-	-	-	-
965	hammer	-	-	-	-	hammer <9.49>	-	-	-	-	-	-	-	-	-	-
966	ewe	-	-	-	-	ewe <3.28>	-	-	-	-	-	-	-	-	-	-
967	depart (V)	-	-	-	-	go away, depart <10.49>	-	-	-	-	-	-	-	-	-	-
968	weep (V)	-	-	-	-	-	-	-	-	-	-	weep <130>	-	-	-	-
969	love	-	-	-	-	love <16.27>	-	-	-	-	-	-	-	-	-	-
970	fasten (V)	to tie up, fasten <66>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
971	scissors	-	-	-	-	scissors, shears <9.24>	-	-	-	-	-	-	-	-	-	-
972	little	-	-	-	-	small, little <12.56>	-	-	-	-	-	-	-	-	-	-
973	reckon (V)	-	-	-	-	account, reckoning <11.66>	-	-	-	-	-	-	-	-	-	-
974	divorce (V)	-	-	-	-	divorce <2.341>	-	-	-	-	-	-	-	-	-	-
975	fathom	-	-	-	-	span, fathom <12.541>	-	-	-	-	-	-	-	-	-	-
976	stutter (V)	-	-	-	-	stutter, stammer <18.211>	-	-	-	-	-	-	-	-	-	-
977	pasture	-	-	-	-	pasture <3.16>	-	-	-	-	-	-	-	-	-	-
978	fish net	-	-	-	-	fishnet <20.54>	-	-	-	-	-	-	-	-	-	-
979	hat	-	-	-	-	hat, cap <6.55>	-	-	-	-	-	-	-	-	-	-
980	creek	-	creek <113>	-	-	-	-	-	-	-	-	-	-	-	-	-
981	pumpkin	-	-	-	-	pumpkin, squash <8.931>	-	-	-	-	-	-	-	-	-	-
982	bracelet	-	-	-	-	bracelet <6.74>	-	-	-	-	-	-	-	-	-	-
983	older sister	-	-	-	-	older sister <2.454>	-	-	-	-	-	-	-	-	-	-
984	show	-	-	-	-	show <15.55>	-	-	-	-	-	-	-	-	-	-
985	teacher	-	-	-	-	teacher <17.27>	-	-	-	-	-	-	-	-	-	-
986	shout (V)	-	-	-	-	shout, cry out <18.13>	-	-	-	-	-	-	-	-	-	-
987	gate	-	-	-	-	door, gate <7.22>	-	-	-	-	-	-	-	-	-	-
988	play	-	-	-	-	play <16.26>	-	-	-	-	-	-	-	-	-	-
989	mute	-	-	-	-	mute <4.96>	-	-	-	-	-	-	-	-	-	-
990	get (V)	-	to get, pick up <34>	-	-	-	-	-	-	-	-	-	-	-	-	-
991	lunch	-	-	-	-	lunch <5.43>	-	-	-	-	-	-	-	-	-	-
992	go up (V)	-	-	-	-	go up <10.471>	-	-	-	-	-	-	-	-	-	-
993	silk	-	-	-	-	silk <6.25>	-	-	-	-	-	-	-	-	-	-
994	banana	-	-	-	-	-	-	-	-	-	-	plaintain/banana <51>	-	-	-	-
995	tide	-	-	-	-	tide <1.352>	-	-	-	-	-	-	-	-	-	-
996	marrow	-	-	-	-	-	-	-	-	-	-	marrow <38>	-	-	-	-
997	pestle	-	-	-	-	pestle <5.59>	-	-	-	-	-	-	-	-	-	-
998	autumn	-	-	-	-	autumn <14.77>	-	-	-	-	-	-	-	-	-	-
999	roast (V)	-	-	-	-	roast, fry <5.23>	-	-	-	-	-	-	-	-	-	-
1000	vein	-	-	-	-	vein, artery <4.151>	-	-	-	-	-	-	-	-	-	-
1001	wedding	-	-	-	-	marriage, wedding <2.34>	-	-	-	-	-	-	-	-	-	-
1002	eel	-	-	-	-	freshwater eel <3.665>	-	-	-	-	-	-	-	-	-	-
1003	cup	-	-	-	-	cup, drinking vessel <5.35>	-	-	-	-	-	-	-	-	-	-
1004	scythe	-	-	-	-	sickle, scythe <8.33>	-	-	-	-	-	-	-	-	-	-
1005	island	-	-	-	-	island <1.25>	-	-	-	-	-	-	-	-	-	-
1006	shut (V)	-	-	-	-	shut, close <12.25>	-	-	-	-	-	-	-	-	-	-
1007	speak (V)	-	to speak <76>	-	-	-	-	-	-	-	-	-	-	-	-	-
1008	belt	-	-	-	-	belt, girdle <6.57>	-	-	-	-	-	-	-	-	-	-
1009	mother's sister	-	-	-	-	mother's sister <2.521>	-	-	-	-	-	-	-	-	-	-
1010	account	-	-	-	-	account, reckoning <11.66>	-	-	-	-	-	-	-	-	-	-
1011	heal (V)	-	-	-	-	cure, heal <4.86>	-	-	-	-	-	-	-	-	-	-
1012	eyelid	-	-	-	-	eyelid <4.213>	-	-	-	-	-	-	-	-	-	-
1013	wasp	-	-	-	-	wasp <3.823>	-	-	-	-	-	-	-	-	-	-
1014	land	-	-	-	-	earth, land <1.21>	-	-	-	-	-	-	-	-	-	-
1015	poison	-	-	-	-	poison <4.89>	-	-	-	-	-	-	-	-	-	-
1016	envy	-	-	-	-	envy, jealousy <16.44>	-	-	-	-	-	-	-	-	-	-
1017	nape	-	nape <57>	-	-	-	-	-	-	-	-	-	-	-	-	-
1018	we two (inclusive)	-	we two inclusive <119>	-	-	-	-	-	-	-	-	-	-	-	-	-
1019	offspring	-	-	-	-	offspring (son or daughter) <2.43>	-	-	-	-	-	-	-	-	-	-
1020	spring 1	-	-	-	-	spring, well <1.37>	-	-	-	-	-	-	-	-	-	-
1021	birch	-	-	-	-	birch <8.63>	-	-	-	-	-	-	-	-	-	-
1022	vegetable food	-	vegetable food <31>	-	-	-	-	-	-	-	-	-	-	-	-	-
1023	spindle	-	-	-	-	spindle <6.32>	-	-	-	-	-	-	-	-	-	-
1024	buttocks	-	-	-	-	buttocks <4.464>	-	-	-	-	-	-	-	-	-	-
1025	fermented drink	-	-	-	-	fermented drink <5.94>	-	-	-	-	-	-	-	-	-	-
1026	tobacco	-	-	-	-	tobacco <8.68>	-	-	-	-	-	-	-	-	-	-
1027	summer	-	-	-	-	summer <14.76>	-	-	-	-	-	-	-	-	-	-
1028	bronze	-	-	-	-	copper, bronze <9.66>	-	-	-	-	-	-	-	-	-	-
1029	spoon	-	-	-	-	spoon <5.37>	-	-	-	-	-	-	-	-	-	-
1030	cure (V)	-	-	-	-	cure, heal <4.86>	-	-	-	-	-	-	-	-	-	-
1031	air	-	-	-	-	air <1.71>	-	-	-	-	-	-	-	-	-	-
1032	little	-	-	-	-	little (quantity), few <13.17>	-	-	-	-	-	-	-	-	-	-
1033	wolf	-	-	-	-	wolf <3.71>	-	-	-	-	-	-	-	-	-	-
1034	ass	-	-	-	-	ass, donkey <3.46>	-	-	-	-	-	-	-	-	-	-
1035	jamb	-	-	-	-	doorpost, jamb <7.221>	-	-	-	-	-	-	-	-	-	-
1036	jaw	-	-	-	-	jaw <4.207>	-	-	-	-	-	-	-	-	-	-
1037	tin	-	-	-	-	tin, tinplate <9.69>	-	-	-	-	-	-	-	-	-	-
1038	bead	-	-	-	-	bead <6.76>	-	-	-	-	-	-	-	-	-	-
1039	slow	-	-	-	-	slow <14.22>	-	-	-	-	-	-	-	-	-	-
1040	gum 2	-	-	-	-	gums <4.271>	-	-	-	-	-	-	-	-	-	-
1041	regret (V)	-	-	-	-	regret, be sorry <16.34>	-	-	-	-	-	-	-	-	-	-
1042	piss (V)	-	-	-	-	-	-	-	-	-	-	piss <34>	-	-	-	-
1043	side	-	-	-	-	side <12.36>	-	-	-	-	-	-	-	-	-	-
1044	shy	shy, ashamed <161>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1045	mind	-	-	-	-	mind <17.11>	-	-	-	-	-	-	-	-	-	-
1046	pinch	-	-	-	-	pinch <15.712>	-	-	-	-	-	-	-	-	-	-
1047	clear	-	-	-	-	clear, plain <17.34>	-	-	-	-	-	-	-	-	-	-
1048	fat (thick)	-	-	-	-	-	-	-	-	-	-	fat <155>	-	-	-	-
1049	admit (V)	-	-	-	-	admit, confess <18.33>	-	-	-	-	-	-	-	-	-	-
1050	cover	-	-	-	-	cover <12.26>	-	-	-	-	-	-	-	-	-	-
1051	carry in arms (V)	-	-	-	-	carry-underarm <10.615>	-	-	-	-	-	-	-	-	-	-
1052	obtain (V)	-	-	-	-	get, obtain <11.16>	-	-	-	-	-	-	-	-	-	-
1053	more	-	-	-	-	more <13.16>	-	-	-	-	-	-	-	-	-	-
1054	tax	-	-	-	-	tax, tribute <11.69>	-	-	-	-	-	-	-	-	-	-
1055	ox	-	-	-	-	ox <3.22>	-	-	-	-	-	-	-	-	-	-
1056	season	-	-	-	-	season <14.78>	-	-	-	-	-	-	-	-	-	-
1057	ready	-	-	-	-	ready <14.29>	-	-	-	-	-	-	-	-	-	-
1058	pitcher	-	-	-	-	pitcher, jug <5.34>	-	-	-	-	-	-	-	-	-	-
1059	harm (V)	-	-	-	-	harm, injure, damage <11.28>	-	-	-	-	-	-	-	-	-	-
1060	pregnant	-	-	-	-	pregnant <4.73>	-	-	-	-	-	-	-	-	-	-
1061	obscure	-	-	-	-	obscure <17.35>	-	-	-	-	-	-	-	-	-	-
1062	sickness	-	-	-	-	sick, sickness <4.84>	-	-	-	-	-	-	-	-	-	-
1063	work	-	-	-	-	work <9.12>	-	-	-	-	-	-	-	-	-	-
1064	weak	-	-	-	-	weak <4.82>	-	-	-	-	-	-	-	-	-	-
1065	enough	-	-	-	-	enough <13.18>	-	-	-	-	-	-	-	-	-	-
1066	cough (V)	-	-	-	-	-	-	-	-	-	-	cough <134>	-	-	-	-
1067	worry	-	-	-	-	anxiety, worry <16.33>	-	-	-	-	-	-	-	-	-	-
1068	listen (V)	-	-	-	-	listen <15.42>	-	-	-	-	-	-	-	-	-	-
1069	arrive (V)	-	-	-	-	reach, arrive <10.55>	-	-	-	-	-	-	-	-	-	-
1070	thirst	-	-	-	-	thirst <5.15>	-	-	-	-	-	-	-	-	-	-
1071	brother	-	-	-	-	brother <2.44>	-	-	-	-	-	-	-	-	-	-
1072	wrist	-	-	-	-	wrist <4.321>	-	-	-	-	-	-	-	-	-	-
1073	veil (V)	-	-	-	-	veil <6.59>	-	-	-	-	-	-	-	-	-	-
1074	soon	-	-	-	-	soon <14.331>	-	-	-	-	-	-	-	-	-	-
1075	chisel	-	-	-	-	chisel <9.84>	-	-	-	-	-	-	-	-	-	-
1076	eyebrow	-	-	-	-	eyebrow <4.212>	-	-	-	-	-	-	-	-	-	-
1077	dandruff	-	-	-	-	dandruff <4.146>	-	-	-	-	-	-	-	-	-	-
1078	donkey	-	-	-	-	ass, donkey <3.46>	-	-	-	-	-	-	-	-	-	-
1079	field	-	-	-	-	-	-	-	-	-	-	field <102>	-	-	-	-
1080	mix (V)	-	-	-	-	stir, mix <5.49>	-	-	-	-	-	-	-	-	-	-
1081	pillow	-	-	-	-	pillow <7.421>	-	-	-	-	-	-	-	-	-	-
1082	certain	-	-	-	-	sure, certain <17.37>	-	-	-	-	-	-	-	-	-	-
1083	morning	-	-	-	-	morning <14.44>	-	-	-	-	-	-	-	-	-	-
1084	make (V)	-	-	-	-	shoemaker, cobbler <6.54>	-	-	-	-	-	-	-	-	-	-
1085	intestine	-	-	-	-	intestines, guts <4.461>	-	-	-	-	-	-	-	-	-	-
1086	young	-	-	-	-	young <14.14>	-	-	-	-	-	-	-	-	-	-
1087	anvil	-	-	-	-	anvil <9.62>	-	-	-	-	-	-	-	-	-	-
1088	give up (V)	-	-	-	-	surrender <20.46>	-	-	-	-	-	-	-	-	-	-
1089	mare	-	-	-	-	mare <3.44>	-	-	-	-	-	-	-	-	-	-
1090	scorpion	-	-	-	-	scorpion <3.815>	-	-	-	-	-	-	-	-	-	-
1091	blacksmith	-	-	-	-	smith, blacksmith <9.6>	-	-	-	-	-	-	-	-	-	-
1092	greedy	-	-	-	-	greedy <16.83>	-	-	-	-	-	-	-	-	-	-
1093	wax	-	-	-	-	beeswax <3.821>	-	-	-	-	-	-	-	-	-	-
1094	remains	-	-	-	-	remains, left overs <12.17>	-	-	-	-	-	-	-	-	-	-
1095	month	-	-	-	-	month <14.71>	-	-	-	-	-	-	-	-	-	-
1096	felt	-	-	-	-	felt <6.27>	-	-	-	-	-	-	-	-	-	-
1097	stomach	-	-	-	-	stomach <4.46>	-	-	-	-	-	-	-	-	-	-
1098	linen	-	-	-	-	linen, flax <6.23>	-	-	-	-	-	-	-	-	-	-
1099	hay	-	-	-	-	hay <8.52>	-	-	-	-	-	-	-	-	-	-
1100	answer (V)	-	-	-	-	answer <18.32>	-	-	-	-	-	-	-	-	-	-
1101	fart (V)	-	-	-	-	break wind <4.64>	-	-	-	-	-	-	-	-	-	-
1102	bay	-	-	-	-	gulf, bay <1.34>	-	-	-	-	-	-	-	-	-	-
1103	sickness	-	sickness <144>	-	-	-	-	-	-	-	-	-	-	-	-	-
1104	hinder (V)	-	-	-	-	hinder, prevent <19.59>	-	-	-	-	-	-	-	-	-	-
1105	put on (V)	-	-	-	-	put on (clothes) <6.11>	-	-	-	-	-	-	-	-	-	-
1106	intoxicated	-	-	-	-	intoxicated <4.98>	-	-	-	-	-	-	-	-	-	-
1107	rough	-	-	-	-	rough <15.76>	-	-	-	-	-	-	-	-	-	-
1108	threaten (V)	-	-	-	-	threaten <18.44>	-	-	-	-	-	-	-	-	-	-
1109	desire	-	-	-	-	desire, want <16.62>	-	-	-	-	-	-	-	-	-	-
